">epoch=216, lrate=0.001, train_error=0.393, train_acc=0.789, test_error=0.453, test_acc=0.189"
">epoch=217, lrate=0.001, train_error=0.391, train_acc=0.791, test_error=0.452, test_acc=0.189"
">epoch=218, lrate=0.001, train_error=0.389, train_acc=0.793, test_error=0.452, test_acc=0.189"
">epoch=219, lrate=0.001, train_error=0.388, train_acc=0.795, test_error=0.453, test_acc=0.189"
">epoch=220, lrate=0.001, train_error=0.386, train_acc=0.795, test_error=0.452, test_acc=0.188"
">epoch=221, lrate=0.001, train_error=0.384, train_acc=0.795, test_error=0.452, test_acc=0.189"
">epoch=222, lrate=0.001, train_error=0.383, train_acc=0.796, test_error=0.451, test_acc=0.189"
">epoch=223, lrate=0.001, train_error=0.381, train_acc=0.797, test_error=0.451, test_acc=0.189"
">epoch=224, lrate=0.001, train_error=0.379, train_acc=0.797, test_error=0.451, test_acc=0.190"
">epoch=225, lrate=0.001, train_error=0.378, train_acc=0.799, test_error=0.452, test_acc=0.190"
">epoch=226, lrate=0.001, train_error=0.376, train_acc=0.800, test_error=0.453, test_acc=0.190"
">epoch=227, lrate=0.001, train_error=0.375, train_acc=0.800, test_error=0.453, test_acc=0.189"
">epoch=228, lrate=0.001, train_error=0.373, train_acc=0.800, test_error=0.454, test_acc=0.189"
">epoch=229, lrate=0.001, train_error=0.372, train_acc=0.803, test_error=0.456, test_acc=0.190"
">epoch=230, lrate=0.001, train_error=0.371, train_acc=0.803, test_error=0.456, test_acc=0.189"
">epoch=231, lrate=0.001, train_error=0.370, train_acc=0.804, test_error=0.457, test_acc=0.190"
">epoch=232, lrate=0.001, train_error=0.369, train_acc=0.806, test_error=0.458, test_acc=0.190"
">epoch=233, lrate=0.001, train_error=0.368, train_acc=0.807, test_error=0.459, test_acc=0.190"
">epoch=234, lrate=0.001, train_error=0.367, train_acc=0.807, test_error=0.459, test_acc=0.190"
">epoch=235, lrate=0.001, train_error=0.366, train_acc=0.806, test_error=0.460, test_acc=0.190"
">epoch=236, lrate=0.001, train_error=0.365, train_acc=0.807, test_error=0.462, test_acc=0.190"
">epoch=237, lrate=0.001, train_error=0.364, train_acc=0.808, test_error=0.464, test_acc=0.189"
">epoch=238, lrate=0.001, train_error=0.364, train_acc=0.807, test_error=0.465, test_acc=0.189"
">epoch=239, lrate=0.001, train_error=0.363, train_acc=0.808, test_error=0.466, test_acc=0.189"
