">epoch=163, lrate=0.001, train_error=0.413, train_acc=0.778, test_error=0.528, test_acc=0.697"
">epoch=164, lrate=0.001, train_error=0.414, train_acc=0.777, test_error=0.527, test_acc=0.701"
">epoch=165, lrate=0.001, train_error=0.415, train_acc=0.776, test_error=0.526, test_acc=0.701"
">epoch=166, lrate=0.001, train_error=0.416, train_acc=0.775, test_error=0.525, test_acc=0.699"
">epoch=167, lrate=0.001, train_error=0.417, train_acc=0.776, test_error=0.526, test_acc=0.701"
">epoch=168, lrate=0.001, train_error=0.417, train_acc=0.775, test_error=0.526, test_acc=0.703"
">epoch=169, lrate=0.001, train_error=0.418, train_acc=0.775, test_error=0.527, test_acc=0.705"
">epoch=170, lrate=0.001, train_error=0.418, train_acc=0.773, test_error=0.527, test_acc=0.709"
">epoch=171, lrate=0.001, train_error=0.418, train_acc=0.772, test_error=0.526, test_acc=0.707"
">epoch=172, lrate=0.001, train_error=0.417, train_acc=0.772, test_error=0.526, test_acc=0.708"
">epoch=173, lrate=0.001, train_error=0.417, train_acc=0.771, test_error=0.526, test_acc=0.705"
">epoch=174, lrate=0.001, train_error=0.416, train_acc=0.770, test_error=0.525, test_acc=0.704"
">epoch=175, lrate=0.001, train_error=0.416, train_acc=0.771, test_error=0.524, test_acc=0.706"
">epoch=176, lrate=0.001, train_error=0.415, train_acc=0.770, test_error=0.523, test_acc=0.705"
">epoch=177, lrate=0.001, train_error=0.414, train_acc=0.773, test_error=0.522, test_acc=0.706"
">epoch=178, lrate=0.001, train_error=0.414, train_acc=0.774, test_error=0.521, test_acc=0.708"
">epoch=179, lrate=0.001, train_error=0.413, train_acc=0.776, test_error=0.519, test_acc=0.709"
">epoch=180, lrate=0.001, train_error=0.412, train_acc=0.776, test_error=0.518, test_acc=0.711"
">epoch=181, lrate=0.001, train_error=0.411, train_acc=0.777, test_error=0.516, test_acc=0.711"
">epoch=182, lrate=0.001, train_error=0.409, train_acc=0.778, test_error=0.515, test_acc=0.711"
">epoch=183, lrate=0.001, train_error=0.408, train_acc=0.780, test_error=0.513, test_acc=0.712"
">epoch=184, lrate=0.001, train_error=0.407, train_acc=0.780, test_error=0.511, test_acc=0.714"
">epoch=185, lrate=0.001, train_error=0.406, train_acc=0.781, test_error=0.510, test_acc=0.717"
">epoch=186, lrate=0.001, train_error=0.405, train_acc=0.783, test_error=0.509, test_acc=0.716"
">epoch=187, lrate=0.001, train_error=0.404, train_acc=0.783, test_error=0.507, test_acc=0.716"
">epoch=188, lrate=0.001, train_error=0.403, train_acc=0.784, test_error=0.506, test_acc=0.718"
">epoch=189, lrate=0.001, train_error=0.402, train_acc=0.785, test_error=0.506, test_acc=0.718"
">epoch=190, lrate=0.001, train_error=0.402, train_acc=0.784, test_error=0.504, test_acc=0.719"
">epoch=191, lrate=0.001, train_error=0.401, train_acc=0.784, test_error=0.502, test_acc=0.718"
">epoch=192, lrate=0.001, train_error=0.401, train_acc=0.783, test_error=0.500, test_acc=0.719"
">epoch=193, lrate=0.001, train_error=0.401, train_acc=0.782, test_error=0.498, test_acc=0.719"
">epoch=194, lrate=0.001, train_error=0.401, train_acc=0.781, test_error=0.496, test_acc=0.724"
